student_id,gender,district,employment_status,education_level,monthly_income_rwf,internet_access,smartphone_owner,date_of_birth
STU037594,Female,Kicukiro,Unemployed,University,860000,Yes,No,2006-12-29
STU021221,Male,Gakenke,Self-employed,Secondary,600000,Yes,Yes,1991-01-12
STU047402,Male,Muhanga,Student,,490000,No,No,2002-01-09
STU009425,Female,Kicukiro,Unemployed,Primary,60000,No,Yes,2002-07-02
STU029243,Male,Kayonza,Student,None,70000,Yes,No,1992-07-25
STU045342,Male,Rulindo,Unemployed,None,120000,No,Yes,2003-07-30
STU046308,Female,Rwamagana,Unemployed,Secondary,490000,No,No,2006-10-30
STU043870,Female,Rwamagana,Student,Secondary,310000,No,No,1990-12-16
STU045666,Male,Kicukiro,Student,Secondary,550000,Yes,Yes,2001-07-21
STU011105,Female,Rwamagana,Self-employed,Secondary,590000,Yes,Yes,2001-12-03
STU000521,Male,Kicukiro,Employed,Secondary,400000,No,No,1991-03-18
STU011971,Male,Gisagara,Self-employed,University,1000000,No,No,1996-02-29
STU010841,Male,Nyamasheke,Unemployed,Primary,360000,Yes,Yes,2005-01-07
STU001287,Female,Karongi,Self-employed,Secondary,310000,No,Yes,2005-07-11
STU010356,Female,Ngoma,Student,Primary,350000,Yes,No,2004-02-11
STU025814,Male,Nyagatare,Unemployed,Secondary,530000,Yes,Yes,1998-03-29
STU045597,Female,Rutsiro,Student,Secondary,640000,Yes,Yes,2003-06-29
STU022485,Male,Gakenke,Self-employed,Secondary,470000,Yes,Yes,1995-07-05
STU003292,Female,Burera,Unemployed,University,70000,No,No,2006-01-10
STU032939,Female,Rulindo,Self-employed,Secondary,400000,Yes,Yes,1994-06-19
STU011994,Female,Kayonza,Unemployed,University,700000,Yes,Yes,1993-09-16
STU031828,Female,Huye,Self-employed,Secondary,120000,Yes,Yes,2004-01-07
STU036823,Male,Nyarugenge,Unemployed,,830000,No,No,2003-03-12
STU021195,Male,Kicukiro,Self-employed,Secondary,800000,Yes,Yes,2002-06-25
STU020454,Male,Kayonza,Employed,Primary,960000,No,Yes,1995-07-16
STU001842,Female,Ngororero,Unemployed,Primary,190000,Yes,Yes,2001-11-12
STU031055,Male,Kayonza,Student,Secondary,310000,Yes,Yes,2006-04-08
STU026158,Female,Nyabihu,Student,Primary,280000,No,Yes,1991-11-05
STU015236,Male,Burera,Employed,Primary,320000,Yes,Yes,1994-11-04
STU006101,Female,Burera,Employed,Primary,380000,Yes,Yes,2001-04-25
STU040264,Male,Burera,Student,Primary,70000,Yes,Yes,2001-10-03
STU040262,Female,Nyaruguru,Employed,Secondary,840000,Yes,Yes,1996-08-15
STU021671,Female,Nyaruguru,Self-employed,Primary,450000,Yes,Yes,1994-07-06
STU046843,Male,Burera,Employed,University,550000,Yes,Yes,2003-07-09
STU008127,Female,Gicumbi,Self-employed,University,730000,Yes,Yes,2003-04-18
STU030402,Female,Huye,Self-employed,Primary,830000,Yes,Yes,2001-10-30
STU022204,Male,Kamonyi,Unemployed,Secondary,200000,Yes,Yes,1998-12-14
STU021586,Female,Gicumbi,Self-employed,University,200000,Yes,Yes,1993-09-13
STU041580,Female,Musanze,Self-employed,None,260000,Yes,No,1993-01-16
STU024176,Male,Ngororero,Student,Primary,860000,Yes,Yes,1995-07-23
STU007756,Female,Musanze,Student,Secondary,380000,Yes,Yes,1991-10-17
STU018902,Male,Gisagara,Student,Secondary,690000,Yes,Yes,2005-09-18
STU009041,Female,Gicumbi,Self-employed,Primary,920000,Yes,Yes,2003-10-19
STU032552,Female,Rubavu,Self-employed,Secondary,960000,Yes,Yes,2003-05-31
STU020273,Female,Nyagatare,Employed,Primary,210000,Yes,Yes,1990-09-22
STU022841,Male,Nyaruguru,Student,Primary,150000,Yes,Yes,1990-09-09
STU029610,Male,Bugesera,Unemployed,Primary,120000,Yes,Yes,1994-02-13
STU025994,Female,Gicumbi,Unemployed,Primary,160000,Yes,No,2005-04-10
STU008392,Male,Rulindo,Student,Secondary,870000,No,No,1990-08-07
STU033355,Male,Nyamasheke,Unemployed,Primary,260000,No,Yes,1990-11-27
STU004571,Female,Nyarugenge,Unemployed,Secondary,,Yes,Yes,1997-12-07
STU032073,Female,Nyarugenge,Student,Secondary,430000,Yes,Yes,2001-06-19
STU032265,Male,Kayonza,Student,Primary,,Yes,Yes,2005-03-01
STU026448,Female,Kamonyi,Employed,,630000,Yes,Yes,1992-12-05
STU015466,Female,Rwamagana,Employed,Secondary,680000,Yes,Yes,1991-11-29
STU003184,Male,Rulindo,Unemployed,Primary,30000,Yes,Yes,2002-08-22
STU047753,Male,Kicukiro,Employed,University,1000000,Yes,Yes,1998-09-28
STU042765,Male,Rusizi,Employed,Primary,110000,No,Yes,1996-06-16
STU041843,Male,Rwamagana,Employed,Secondary,330000,Yes,No,1999-08-10
STU010868,Male,Gasabo,Student,Primary,350000,Yes,No,2005-03-26
STU002863,Female,Muhanga,Unemployed,Primary,230000,Yes,Yes,2006-11-04
STU022526,Male,Nyabihu,Self-employed,Secondary,20000,No,Yes,1992-11-22
STU030657,Female,Gicumbi,Self-employed,Secondary,340000,No,Yes,2000-07-17
STU029490,Male,Rubavu,Unemployed,University,50000,Yes,No,1991-01-28
STU008093,Female,Rubavu,Student,Primary,230000,No,No,2007-02-14
STU007508,Male,Rusizi,Employed,Secondary,180000,Yes,No,1997-09-28
STU037286,Male,Gasabo,Employed,Secondary,900000,No,Yes,1999-04-04
STU023705,Female,Rusizi,Student,Secondary,800000,Yes,Yes,1994-08-08
STU045967,Male,Kamonyi,Student,Primary,380000,No,Yes,1991-08-30
STU001721,Female,Rulindo,Unemployed,,360000,Yes,Yes,2005-02-03
STU000286,Female,Gakenke,Self-employed,University,20000,Yes,No,1993-03-24
STU023988,Female,Kicukiro,Student,University,670000,Yes,No,2000-07-11
STU023160,Male,Gakenke,Employed,Secondary,,Yes,Yes,1994-12-30
STU032287,Female,Rusizi,Unemployed,Secondary,50000,Yes,Yes,2000-06-07
STU037085,Male,Kamonyi,Employed,University,680000,Yes,Yes,1991-06-05
STU016189,Male,Gicumbi,Unemployed,None,550000,Yes,No,2002-10-27
STU046867,Female,Ngororero,Unemployed,,790000,Yes,Yes,1999-08-27
STU037377,Male,Rulindo,Self-employed,Primary,920000,Yes,Yes,2001-12-09
STU041667,Male,Nyanza,Student,,710000,No,Yes,2000-05-09
STU005427,Male,Kayonza,Self-employed,None,,Yes,Yes,1997-11-22
STU015100,Female,Rwamagana,Student,Secondary,630000,No,Yes,1992-01-03
STU031224,Female,Kicukiro,Student,University,930000,Yes,Yes,1994-03-10
STU016580,Male,Kayonza,Unemployed,Secondary,250000,Yes,Yes,2000-10-29
STU014020,Female,Muhanga,Self-employed,,280000,Yes,Yes,2005-10-19
STU047518,Female,Huye,Student,Secondary,690000,Yes,Yes,2003-11-03
STU024856,Male,Rulindo,Unemployed,Secondary,850000,No,Yes,1997-07-18
STU047134,Male,Kayonza,Self-employed,None,120000,No,No,1997-10-05
STU011593,Female,Rutsiro,Self-employed,Secondary,630000,Yes,Yes,2002-02-19
STU022917,Female,Gicumbi,Employed,Secondary,610000,No,Yes,1999-04-21
STU023165,Male,Kayonza,Self-employed,Secondary,630000,Yes,Yes,2004-02-08
STU032193,Male,Karongi,Student,Secondary,,Yes,Yes,2002-10-22
STU008397,Female,Gasabo,Unemployed,Secondary,820000,No,Yes,1998-05-08
STU007737,Female,Musanze,Student,Secondary,200000,Yes,No,1991-11-30
STU036698,Male,Kayonza,Unemployed,Secondary,530000,Yes,Yes,2005-02-02
STU005380,Female,Kayonza,Student,Secondary,910000,Yes,Yes,2002-09-15
STU038172,Female,Nyanza,Student,Secondary,620000,Yes,No,1995-05-30
STU045773,Female,Karongi,Self-employed,Secondary,970000,Yes,Yes,1991-09-06
STU037607,Male,Burera,Unemployed,Secondary,450000,Yes,Yes,1991-05-07
STU039137,Male,Gicumbi,Unemployed,Secondary,700000,No,Yes,1999-12-14
STU045818,Male,Karongi,Student,Secondary,440000,Yes,Yes,1999-03-25
STU048801,Male,Muhanga,Employed,Secondary,520000,Yes,Yes,1992-07-19
STU024307,Male,Karongi,Student,Primary,50000,Yes,Yes,1993-11-25
STU046183,Male,Kayonza,Student,University,970000,No,Yes,2002-09-06
STU038606,Female,Gisagara,Employed,Primary,490000,No,Yes,2005-01-10
STU014103,Female,Nyaruguru,Unemployed,Secondary,930000,Yes,Yes,1995-06-21
STU032062,Male,Bugesera,Student,University,630000,No,No,1991-07-17
STU015269,Male,Nyaruguru,Employed,Secondary,480000,Yes,Yes,1999-11-02
STU019476,Male,Kicukiro,Unemployed,Primary,570000,Yes,Yes,1997-04-04
